BJD,FLUX,ERRFLUX,AIRMASS,SKY
    503.863186, 0.989755, 0.000249, 1.234,  823.
    503.863908, 0.989447, 0.000249, 1.234,  826.
    503.864630, 0.988538, 0.000249, 1.233,  859.
    503.865352, 0.988079, 0.000249, 1.232,  843.
    503.866074, 0.988343, 0.000250, 1.232,  888.
    503.866796, 0.987540, 0.000249, 1.231,  812.
    503.867519, 0.987624, 0.000249, 1.231,  791.
    503.868241, 0.986636, 0.000249, 1.230,  805.
    503.868963, 0.987938, 0.000250, 1.230,  800.
    503.869685, 0.985484, 0.000250, 1.229,  791.
    503.870408, 0.985831, 0.000250, 1.229,  810.
    503.871130, 0.984612, 0.000251, 1.228,  839.
    503.871852, 0.984897, 0.000249, 1.228,  794.
    503.872575, 0.985141, 0.000251, 1.228,  808.
    503.873297, 0.982515, 0.000252, 1.227,  776.
    503.874019, 0.983356, 0.000251, 1.227,  810.
    503.874741, 0.983331, 0.000252, 1.226,  836.
    503.875464, 0.983671, 0.000251, 1.226,  859.
    503.876186, 0.982599, 0.000250, 1.225,  850.
    503.876908, 0.982881, 0.000249, 1.225,  861.
    503.877630, 0.983453, 0.000249, 1.224,  836.
    503.878352, 0.982247, 0.000249, 1.224,  854.
    503.879074, 0.983028, 0.000247, 1.224,  883.
    503.879797, 0.981686, 0.000249, 1.223,  831.
    503.880520, 0.981627, 0.000249, 1.223,  790.
    503.881242, 0.980771, 0.000249, 1.222,  814.
    503.881964, 0.980147, 0.000248, 1.222,  788.
    503.882686, 0.981202, 0.000249, 1.222,  814.
    503.883408, 0.981062, 0.000250, 1.221,  782.
    503.884130, 0.980347, 0.000249, 1.221,  821.
    503.884852, 0.979596, 0.000249, 1.221,  821.
    503.885574, 0.978425, 0.000249, 1.220,  838.
    503.886296, 0.978139, 0.000249, 1.220,  821.
    503.887018, 0.979086, 0.000247, 1.219,  832.
    503.887740, 0.978792, 0.000246, 1.219,  837.
    503.888462, 0.979820, 0.000247, 1.219,  905.
    503.889184, 0.979573, 0.000247, 1.218,  919.
    503.889906, 0.978190, 0.000247, 1.218,  867.
    503.890628, 0.978876, 0.000247, 1.218,  809.
    503.891350, 0.979535, 0.000247, 1.218,  803.
    503.892072, 0.980250, 0.000247, 1.217,  831.
